Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Richmond/Norfolk,Weekly,"2020-01-12 00:00:00","Conventional ",0.890000000,362789.16,105287.81,57301.96,1249.42,198949.97,156402.59,42127.38,420.00
Richmond/Norfolk,Weekly,"2020-01-05 00:00:00","Conventional ",0.830000000,364862.36,128690.17,66560.76,1749.73,167861.70,129909.29,37532.55,419.86
Roanoke,Weekly,"2020-01-26 00:00:00","Conventional ",0.960000000,196648.62,58749.65,24316.36,44.68,113537.93,75734.57,37636.69,166.67
Roanoke,Weekly,"2020-01-19 00:00:00","Conventional ",0.850000000,218368.11,71146.87,25639.78,20.86,121560.60,84105.88,37251.39,203.33
Roanoke,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,233067.94,71208.96,24471.22,63.71,137324.05,104593.21,32517.51,213.33
Roanoke,Weekly,"2020-01-05 00:00:00","Conventional ",0.800000000,217201.63,77539.77,27623.64,149.73,111888.49,81384.77,30413.72,90.00
Sacramento,Weekly,"2020-01-26 00:00:00","Conventional ",1.350000000,460668.56,132427.23,164131.90,4037.09,160072.34,94779.96,56944.31,8348.07
Sacramento,Weekly,"2020-01-19 00:00:00","Conventional ",1.180000000,562968.36,158091.61,263273.45,4856.45,136746.85,75383.49,54064.73,7298.63
Sacramento,Weekly,"2020-01-12 00:00:00","Conventional ",1.200000000,543009.72,168802.44,199058.96,3190.24,171958.08,76874.73,90888.16,4195.19
Sacramento,Weekly,"2020-01-05 00:00:00","Conventional ",1.140000000,577695.32,163291.93,254290.12,4881.29,155231.98,82079.62,65984.57,7167.79
"San Diego",Weekly,"2020-01-26 00:00:00","Conventional ",1.130000000,529787.84,100890.97,24514.03,10088.47,394294.37,181695.42,210293.82,2305.13
"San Diego",Weekly,"2020-01-19 00:00:00","Conventional ",0.810000000,724159.97,100446.42,46673.45,12355.76,564684.34,169401.60,392659.45,2623.29
"San Diego",Weekly,"2020-01-12 00:00:00","Conventional ",1.050000000,591414.23,108558.77,25763.93,9620.63,447470.90,209355.50,236592.33,1523.07
"San Diego",Weekly,"2020-01-05 00:00:00","Conventional ",1.100000000,572790.32,96057.16,23118.10,13496.82,440118.24,195744.53,241707.76,2665.95
"San Francisco",Weekly,"2020-01-26 00:00:00","Conventional ",1.530000000,824772.00,212833.51,207949.06,9307.98,394681.45,152609.57,228560.97,13510.91
"San Francisco",Weekly,"2020-01-19 00:00:00","Conventional ",1.500000000,887496.47,234478.13,297295.17,8429.31,347293.86,124746.65,211490.73,11056.48
"San Francisco",Weekly,"2020-01-12 00:00:00","Conventional ",1.170000000,1043794.72,307874.92,288178.81,4931.63,442809.36,123073.26,313754.66,5981.44
"San Francisco",Weekly,"2020-01-05 00:00:00","Conventional ",1.340000000,950897.52,286755.38,253260.33,7002.97,403878.84,151550.85,242818.59,9509.40
